"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","marginal_R2","conditional_R2"
"fixed","(Intercept)",-2.48998619579319,0.202678788869257,-12.285381266016,419.452562152729,7.60583587379015e-30,-2.88837885844212,-2.09159353314426,0.524186926944418,0.969678793567205
"fixed","ContinentSouth America",1.00377821792336,0.282525392405806,3.55287788250048,419.887559747065,0.000424270117261346,0.448437885768936,1.55911855007778,0.524186926944418,0.969678793567205
"fixed","ContinentAfrica",0.262115250146433,0.419184406456295,0.62529818883843,462.994725101728,0.532083438200141,-0.561624417453332,1.0858549177462,0.524186926944418,0.969678793567205
"fixed","ContinentEurope",0.368053890207977,0.271061220306723,1.35782569631872,428.029263659683,0.175234358953258,-0.164722829526759,0.900830609942712,0.524186926944418,0.969678793567205
"fixed","ContinentAsia",-0.0263190910191599,0.413601675192876,-0.0636339081723652,421.674378037798,0.9492918851263,-0.839296913390187,0.786658731351867,0.524186926944418,0.969678793567205
"fixed","ContinentOceania",-0.6102552621229,0.592471548713472,-1.03001614752311,414.197204319719,0.303603509090093,-1.77488124708517,0.554370722839368,0.524186926944418,0.969678793567205
"fixed","log_years_since_pub",1.28921588986556,0.124873445701997,10.3241796734127,423.313450553654,1.94530059619372e-22,1.04376666509004,1.53466511464108,0.524186926944418,0.969678793567205
"fixed","ContinentSouth America:log_years_since_pub",0.929045607864123,0.26330955492916,3.52833989679589,417.940342651682,0.000464575256153518,0.411469528060722,1.44662168766752,0.524186926944418,0.969678793567205
"fixed","ContinentAfrica:log_years_since_pub",1.69495076629091,0.541215757138493,3.13174689379413,593.700481949315,0.00182320122858414,0.632020477960377,2.75788105462145,0.524186926944418,0.969678793567205
"fixed","ContinentEurope:log_years_since_pub",1.92199041165611,0.29555161417057,6.50306179869781,447.936175760201,2.10558267265533e-10,1.34115048419936,2.50283033911286,0.524186926944418,0.969678793567205
"fixed","ContinentAsia:log_years_since_pub",1.63225952800315,0.406640031223098,4.01401584367781,423.439305117403,7.0598688470162e-05,0.832975142040658,2.43154391396565,0.524186926944418,0.969678793567205
"fixed","ContinentOceania:log_years_since_pub",1.09544805225363,0.514718148596181,2.12824835347522,404.597336468492,0.0339202840660046,0.083592182742509,2.10730392176476,0.524186926944418,0.969678793567205
